Date,Open,High,Low,AdjClose,Volume
1/2/2015,0.483159,0.486762,0.47548,0.483159,118406027
1/5/2015,0.483159,0.484637,0.472814,0.47498,206168066
1/6/2015,0.47568,0.476179,0.460103,0.460533,205985705
1/7/2015,0.463977,0.467992,0.458036,0.459303,335184616
1/8/2015,0.464677,0.479533,0.464427,0.476689,295577911
1/9/2015,0.478408,0.482161,0.471866,0.478657,218254458
1/12/2015,0.479772,0.479902,0.468222,0.472564,198660808
1/13/2015,0.476179,0.485785,0.468591,0.471746,246558449
1/14/2015,0.467523,0.47523,0.465626,0.473782,161715269
1/15/2015,0.477179,0.480032,0.470148,0.470368,196802589
1/16/2015,0.469669,0.479533,0.468222,0.479037,189057267
1/20/2015,0.481661,0.485087,0.474482,0.480502,131511798
1/21/2015,0.477909,0.488431,0.474482,0.487212,147402970
1/22/2015,0.487931,0.496969,0.483159,0.495671,158446118
1/23/2015,0.49617,0.497917,0.491976,0.497338,118284686
1/26/2015,0.494921,0.497338,0.491726,0.494801,138760230
1/27/2015,0.487212,0.487682,0.470148,0.471117,372820103
1/28/2015,0.476939,0.478837,0.463227,0.463477,285701323
1/29/2015,0.463977,0.477439,0.461531,0.474741,245124202
1/30/2015,0.471367,0.476939,0.460103,0.460781,310586268
2/2/2015,0.463727,0.472814,0.454684,0.470867,270395042
2/3/2015,0.474242,0.483159,0.471866,0.482659,191093331
2/4/2015,0.481181,0.489409,0.479772,0.483888,189060251
2/5/2015,0.484387,0.491976,0.483888,0.491726,146286086
2/6/2015,0.491278,0.497099,0.487432,0.489649,219274168
2/9/2015,0.486762,0.490608,0.483638,0.489179,285356238
2/10/2015,0.489649,0.50307,0.487432,0.50281,235606127
2/11/2015,0.504037,0.504037,0.49617,0.499484,333635357
2/12/2015,0.537648,0.540115,0.524908,0.535252,705037548
2/13/2015,0.534112,0.536249,0.525877,0.535512,322975922
2/17/2015,0.535512,0.539865,0.531217,0.537108,211787070
2/18/2015,0.536979,0.537458,0.529997,0.530957,178063753
2/19/2015,0.537648,0.538637,0.529997,0.532185,176470719
2/20/2015,0.531935,0.536509,0.528052,0.536002,164310357
2/23/2015,0.536002,0.536002,0.529251,0.531935,130218381
2/24/2015,0.533982,0.537548,0.529121,0.537548,154943588
2/25/2015,0.535412,0.537798,0.530837,0.533512,128452769
2/26/2015,0.533982,0.537918,0.530587,0.534912,158578535
2/27/2015,0.533512,0.534682,0.529649,0.531556,163408423
3/2/2015,0.530117,0.547442,0.52937,0.544228,312836782
3/3/2015,0.540264,0.54303,0.532814,0.534432,166368734
3/4/2015,0.532554,0.541662,0.530337,0.540494,235359109
