Date,Open,High,Low,AdjClose,Volume
1/2/2015,95.7833,96.1811,94.5548,95.0215,33920142
1/5/2015,94.6011,94.7069,93.3638,93.6168,39552414
1/6/2015,93.7599,93.9255,91.9571,92.3698,71694249
1/7/2015,92.9902,93.7795,92.7642,93.5619,40703138
1/8/2015,94.3568,95.547,94.252,95.3706,43549097
1/9/2015,95.6598,95.6891,94.1638,94.7157,44853091
1/12/2015,94.9068,95.0118,93.4961,93.7313,36963137
1/13/2015,94.6491,95.6598,92.9619,93.7029,60823751
1/14/2015,92.7737,93.6638,92.3698,93.1944,55558886
1/15/2015,93.552,93.7698,91.8758,91.9846,55148068
1/16/2015,91.866,93.1844,91.7159,93.063,38298756
1/20/2015,93.6168,94.0414,92.5775,93.7991,30232622
1/21/2015,93.5238,94.7157,93.1944,94.2815,37379828
1/22/2015,94.6491,96.1233,93.8225,96.0275,37388602
1/23/2015,96.0177,96.5304,95.744,96.2295,34932731
1/26/2015,96.1233,96.2931,95.65,96.1233,21600589
1/27/2015,94.6109,94.6678,93.3255,93.6246,48977402
1/28/2015,95.1501,95.2548,93.1385,93.1579,46345287
1/29/2015,93.0804,94.2227,92.2691,94.0501,50371992
1/30/2015,93.9707,94.6873,93.1944,93.3255,46503466
2/2/2015,93.5324,94.2129,92.0777,94.1256,47242827
2/3/2015,94.4785,95.1109,93.8588,95.0453,33308485
2/4/2015,94.6491,95.5941,94.4412,94.955,36896502
2/5/2015,95.2059,95.842,94.955,95.7833,25563574
2/6/2015,95.9206,96.152,94.851,95.2059,37015951
2/9/2015,94.8216,95.3607,94.659,94.8883,24482889
2/10/2015,95.4283,96.5017,95.2843,96.3616,25655624
2/11/2015,96.4822,96.947,96.2842,96.7254,21940092
2/12/2015,97.3361,97.8645,97.2107,97.8254,24390165
2/13/2015,98.1194,98.7169,97.9233,98.6973,31445921
2/17/2015,98.6973,98.855,98.4427,98.7859,19144600
2/18/2015,98.6675,98.9827,98.541,98.9333,16391482
2/19/2015,98.865,99.4622,98.8354,99.3937,21471910
2/20/2015,99.3347,100.109,99.0312,100.05,30696080
2/23/2015,100.001,100.189,99.7862,100.159,19348280
2/24/2015,100.031,100.364,99.7273,100.239,21375995
2/25/2015,100.08,100.471,99.7663,99.981,21091793
2/26/2015,100.08,100.551,99.8151,100.491,24086097
2/27/2015,100.451,100.521,99.8931,100.041,30062647
3/2/2015,100.249,101.013,100.229,100.973,24904081
3/3/2015,100.666,100.766,99.8541,100.481,22521095
3/4/2015,100.149,100.305,99.5506,100.09,22757800
3/5/2015,100.364,100.571,99.8641,100.277,16662591
3/6/2015,100.139,100.344,98.9134,99.1496,33572509
3/9/2015,99.3447,99.668,98.953,99.4236,28423257
3/10/2015,98.7366,98.7564,97.5801,97.5801,37086914
3/11/2015,97.6782,97.8351,96.9959,97.0352,27581081
3/12/2015,96.9568,97.7566,96.898,97.3162,23268197
3/13/2015,97.5998,97.9429,96.6273,97.2486,45522426
3/16/2015,97.5901,98.541,97.4801,98.5018,27813238
3/17/2015,98.2175,98.8154,97.9819,98.6577,21237249
3/18/2015,98.3835,100.05,97.8545,99.6093,44006861
3/19/2015,99.7074,100.031,99.5606,99.7563,33923181
3/20/2015,100.581,100.915,100.394,100.412,23879539
3/23/2015,100.354,100.628,100.169,100.209,18664428
3/24/2015,100.199,100.666,99.835,99.8541,24259594
3/25/2015,100.001,100.09,97.5193,97.5605,44942705
3/26/2015,96.7744,97.7761,96.4391,97.2486,51713928
3/27/2015,97.2302,97.8351,97.0881,97.6096,36616910
3/30/2015,98.2175,98.8451,98.2175,98.7564,33041288
3/31/2015,98.4721,98.6874,97.6587,97.6782,32952658
4/1/2015,97.6782,97.6977,96.5595,97.2007,35635618
4/2/2015,97.2883,97.5605,96.947,97.2585,20713370
4/6/2015,96.6871,98.3256,96.5304,98.0411,26427645
4/7/2015,97.9819,98.7366,97.8645,97.8645,20943786
4/8/2015,97.9038,98.8154,97.894,98.6775,27957894
4/9/2015,98.6577,99.315,98.2863,99.2752,24981475
