Date,Open,High,Low,AdjClose,Volume
1/2/2015,21.9454,22.0161,21.6896,21.824,200541.5907
1/5/2015,21.6976,21.8777,21.4439,21.4897,982914.5905
1/6/2015,21.5196,21.5932,21.1832,21.3225,239594.6648
1/7/2015,21.435,21.5852,21.422,21.5802,164797.9629
1/8/2015,21.7942,22.0041,21.7623,21.9822,163527.6501
1/9/2015,21.9215,22.021,21.7404,21.814,175637.8316
1/12/2015,21.831,21.8837,21.613,21.6548,98904.50558
1/13/2015,21.8409,22.0181,21.4748,21.633,102888.303
1/14/2015,21.4439,21.5554,21.3524,21.5374,177224.7176
1/15/2015,21.5692,21.6598,21.3086,21.3106,85877.76926
1/16/2015,21.2509,21.616,21.2509,21.611,147648.7399
1/20/2015,21.6916,21.7076,21.4588,21.6648,114246.7488
1/21/2015,21.633,21.819,21.5354,21.7683,75266.03429
1/22/2015,21.8907,22.1245,21.6896,22.0977,105636.9625
1/23/2015,22.0747,22.1435,22.026,22.0419,127395.0894
1/26/2015,22.0747,22.1205,21.9693,22.1205,622428.1545
1/27/2015,21.7762,21.9026,21.639,21.7294,139862.0439
1/28/2015,21.9753,21.9753,21.5066,21.5066,336192.7084
1/29/2015,21.5574,21.7762,21.415,21.7514,157723.8079
1/30/2015,21.7294,21.7683,21.42,21.4608,175599.6418
2/2/2015,21.4628,21.6688,21.2399,21.6688,971716.9438
2/3/2015,21.7812,21.8857,21.6508,21.8817,1532557.037
2/4/2015,21.8021,21.9563,21.7643,21.822,155122.8826
2/5/2015,21.9424,22.0767,21.9285,22.0747,86364.18651
2/6/2015,22.0747,22.1385,21.8728,21.9086,986784.8236
2/9/2015,21.8797,21.9185,21.7663,21.8101,52849.63608
2/10/2015,21.9384,22.1245,21.9026,22.0917,200420.9914
2/11/2015,22.1365,22.1971,22.0439,22.1623,56568.11504
2/12/2015,22.2479,22.3792,22.2479,22.3673,63146.80783
2/13/2015,22.428,22.4837,22.3792,22.4837,80901.03741
2/17/2015,22.5255,22.5504,22.43,22.5096,80296.03083
2/18/2015,22.5096,22.5802,22.4628,22.5802,219007.3563
2/19/2015,22.5554,22.622,22.5554,22.5683,94064.45296
2/20/2015,22.5892,22.7634,22.5255,22.7384,127145.8508
2/23/2015,22.7384,22.7922,22.7086,22.7922,74681.12759
2/24/2015,22.7862,22.832,22.7394,22.7972,93145.88815
2/25/2015,22.7862,22.8638,22.7752,22.7862,63507.60079
2/26/2015,22.8031,22.834,22.7454,22.824,55952.05353
2/27/2015,22.811,22.839,22.7424,22.7424,41814.79849
3/2/2015,22.817,22.9335,22.7682,22.9285,1332624.472
3/3/2015,22.8578,22.8698,22.6886,22.8012,195175.9261
3/4/2015,22.7294,22.7544,22.5912,22.7106,150923.0114
3/5/2015,22.7892,22.7972,22.6847,22.7614,96038.26179
3/6/2015,22.7086,22.7086,22.3673,22.425,188096.7461
3/9/2015,22.5006,22.5643,22.4419,22.5285,128787.0066
3/10/2015,22.3723,22.4021,22.1653,22.1653,146051.8039
3/11/2015,22.2399,22.2399,22.0767,22.0797,64613.09454
3/12/2015,22.1155,22.3265,22.1155,22.3265,54886.75955
3/13/2015,22.2827,22.3365,22.0897,22.2221,116396.4316
3/16/2015,22.3076,22.5235,22.2479,22.5205,154911.8338
3/17/2015,22.4837,22.5484,22.3723,22.5006,113304.0641
3/18/2015,22.4439,22.811,22.3076,22.7136,101353.6767
3/19/2015,22.6906,22.7842,22.6867,22.7454,101795.8742
3/20/2015,22.9354,22.9971,22.8518,22.9354,115345.2076
3/23/2015,22.9354,22.9534,22.8518,22.8518,88227.44597
3/24/2015,22.8638,22.9136,22.7682,22.7722,61318.72317
3/25/2015,22.8051,22.8051,22.3175,22.3175,124842.4039
3/26/2015,22.2151,22.3663,22.1553,22.2717,148667.8041
3/27/2015,22.2967,22.3733,22.2599,22.3523,98816.06608
3/30/2015,22.5086,22.5872,22.4847,22.5633,95731.73853
3/31/2015,22.4996,22.5683,22.3474,22.3474,177516.1659
4/1/2015,22.3295,22.3563,22.1036,22.2339,69259.18326
